iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q07_s17,308.513,1.822,310.335,3.0069
1,q07_s2024,308.02,1.8,309.82,2.9791
1,q07_s222,305.354,1.871,307.225,3.0102
1,q07_s321,310.624,1.88,312.504,2.9773
1,q07_s333,310.362,1.812,312.174,3.0034
1,q07_s42,305.95,1.85,307.8,3.0423
1,q07_s444,305.974,1.819,307.793,3.0201
1,q07_s456,305.171,1.844,307.015,2.9988
1,q07_s55,306.59,1.821,308.411,2.9754
1,q07_s555,305.48,1.829,307.309,2.9839
1,q07_s654,307.651,1.825,309.476,2.9911
1,q07_s666,305.329,1.875,307.204,3.0026
1,q07_s7,306.377,1.781,308.158,3.0021
1,q07_s777,306.12,1.871,307.991,3.0048
1,q07_s789,305.103,1.85,306.953,3.0318
1,q07_s987,304.44,1.89,306.33,3.0057
1,q07_s99,307.641,1.81,309.451,2.9985
1,q08_s111,283.039,2.463,285.502,2.2922
1,q08_s123,279.728,2.299,282.027,2.4736
1,q08_s1337,282.829,2.34,285.169,2.4137
1,q08_s17,278.844,2.319,281.163,2.4274
1,q08_s2024,278.498,2.344,280.842,2.4383
1,q08_s222,282.882,2.315,285.197,2.3191
1,q08_s321,282.001,2.306,284.307,2.3868
1,q08_s333,280.534,2.341,282.875,2.3868
1,q08_s42,281.086,2.31,283.396,2.3973
1,q08_s444,286.793,2.333,289.126,2.3356
1,q08_s456,281.29,2.329,283.619,2.3436
1,q08_s55,280.464,2.269,282.733,2.3693
1,q08_s555,279.532,2.253,281.785,2.3643
1,q08_s654,280.886,2.332,283.218,2.4153
1,q08_s666,282.992,2.307,285.299,2.3087
1,q08_s7,281.68,2.307,283.987,2.3951
1,q08_s777,282.748,2.252,285.0,2.3891
1,q08_s789,281.419,2.247,283.666,2.4286
1,q08_s987,280.952,2.337,283.289,2.3762
1,q08_s99,281.828,2.327,284.155,2.3842
1,q09_s111,715.44,1.772,717.212,11.5906
1,q09_s123,629.937,1.771,631.708,2.7041
1,q09_s1337,631.66,1.68,633.34,2.7008
1,q09_s17,632.914,1.787,634.701,2.6939
1,q09_s2024,633.292,1.72,635.012,2.6942
1,q09_s222,636.202,1.751,637.953,2.6974
1,q09_s321,641.458,1.758,643.216,2.689
1,q09_s333,632.773,1.783,634.556,2.6915
1,q09_s42,633.644,1.762,635.406,2.6913
1,q09_s444,643.393,1.77,645.163,2.6799
1,q09_s456,636.18,1.741,637.921,2.6691
1,q09_s55,629.544,1.764,631.308,2.7171
1,q09_s555,639.095,1.752,640.847,2.6811
1,q09_s654,631.967,1.825,633.792,2.6891
1,q09_s666,629.355,1.711,631.066,2.6901
1,q09_s7,634.871,1.746,636.617,2.6692
1,q09_s777,630.312,1.682,631.994,2.6934
1,q09_s789,633.889,1.91,635.799,2.6887
1,q09_s987,632.207,1.736,633.943,2.6713
1,q09_s99,630.14,1.828,631.968,2.6732
1,q10_s111,377.645,0.964,378.609,1.3933
1,q10_s123,389.7,0.852,390.552,1.5088
1,q10_s1337,390.672,0.857,391.529,1.5019
1,q10_s17,386.809,0.865,387.674,1.5414
1,q10_s2024,389.681,0.856,390.537,1.5039
1,q10_s222,389.942,0.855,390.797,1.5049
1,q10_s321,386.286,0.844,387.13,1.5172
1,q10_s333,390.355,0.865,391.22,1.4989
1,q10_s42,388.866,0.867,389.733,1.5023
1,q10_s444,388.62,0.876,389.496,1.4987
1,q10_s456,391.752,0.866,392.618,1.4946
1,q10_s55,387.779,0.857,388.636,1.5024
1,q10_s555,388.664,0.92,389.584,1.5098
1,q10_s654,388.333,0.856,389.189,1.5207
1,q10_s666,391.747,0.844,392.591,1.4961
1,q10_s7,393.923,0.897,394.82,1.5
1,q10_s777,377.948,0.841,378.789,1.5819
1,q10_s789,391.854,0.857,392.711,1.4961
1,q10_s987,386.391,0.861,387.252,1.5323
1,q10_s99,374.992,0.842,375.834,1.5731
1,q11_s111,83.022,0.624,83.646,1.3784
1,q11_s123,88.356,0.553,88.909,1.696
1,q11_s1337,90.714,0.555,91.269,1.5438
1,q11_s17,90.006,0.559,90.565,1.5069
1,q11_s2024,87.851,0.554,88.405,1.4767
1,q11_s222,87.809,0.558,88.367,1.4149
1,q11_s321,89.277,0.56,89.837,1.3352
1,q11_s333,94.83,0.56,95.39,1.2538
1,q11_s42,93.908,0.554,94.462,1.2421
1,q11_s444,92.937,0.541,93.478,1.2337
1,q11_s456,94.535,0.572,95.107,1.2192
1,q11_s55,92.565,0.573,93.138,1.2082
1,q11_s555,94.42,0.563,94.983,1.2306
