iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
2,17d,5332.781,3.953,5336.734,54.1499
2,17e,7073.222,3.894,7077.116,35.6406
2,17f,6572.896,4.02,6576.916,37.6148
2,18a,2554.549,3.888,2558.437,5.563
2,18b,112.146,3.928,116.074,5.9781
2,18c,3273.214,3.795,3277.009,7.5543
2,19a,136.712,18.644,155.356,9.8205
2,19b,62.914,14.707,77.621,8.4129
2,19c,1002.44,20.175,1022.615,11.3543
2,19d,3227.662,21.916,3249.578,6.129
2,1a,38.904,2.082,40.986,1.5607
2,1b,36.723,1.693,38.416,7.9545
2,1c,38.531,1.686,40.217,1.9086
2,1d,36.654,1.664,38.318,8.4569
2,20a,2009.471,11.621,2021.092,15.5797
2,20b,1579.296,11.608,1590.904,14.2331
2,20c,869.643,11.899,881.542,19.8577
2,21a,56.66,11.579,68.239,23.3651
2,21b,36.392,10.759,47.151,16.1667
2,21c,38.907,11.186,50.093,22.9058
2,22a,300.854,28.896,329.75,29.7569
2,22b,213.625,28.755,242.38,12.0574
2,22c,911.171,30.25,941.421,50.9815
2,22d,558.368,31.01,589.378,48.4399
2,23a,193.578,28.076,221.654,5.0458
2,23b,41.321,27.214,68.535,5.5679
2,23c,188.823,27.346,216.169,1.9236
2,24a,304.833,57.752,362.585,21.3734
2,24b,15.859,50.076,65.935,4.2373
2,25a,1490.297,9.84,1500.137,45.904
2,25b,193.572,9.884,203.456,6.2503
2,25c,5226.249,10.596,5236.845,60.3968
2,26a,12124.742,48.291,12173.033,17.0993
2,26b,150.041,47.794,197.835,11.7425
2,26c,1106.303,49.041,1155.344,12.2682
2,27a,12.601,46.985,59.586,3.3333
2,27b,5.343,46.95,52.293,4.1487
2,27c,17.828,49.728,67.556,3.087
2,28a,856.555,60.817,917.372,71.1659
2,28b,445.763,57.105,502.868,58.8041
2,28c,898.433,58.95,957.383,53.0267
2,29a,54.097,70.676,124.773,7.7208
2,29b,8.712,68.679,77.391,3.3953
2,29c,714.56,77.34,791.9,68.8643
2,2a,308.785,1.84,310.625,31.5217
2,2b,293.949,2.13,296.079,36.7786
2,2c,276.155,2.081,278.236,8.7956
2,2d,381.973,2.138,384.111,31.75
2,30a,3679.539,50.77,3730.309,37.7648
2,30b,246.259,47.731,293.99,8.7455
2,30c,2145.44,49.123,2194.563,53.9099
2,31a,677.922,38.272,716.194,34.2144
2,31b,251.378,34.363,285.741,12.5577
2,31c,685.608,39.106,724.714,39.3635
2,32a,7.985,2.282,10.267,9.5469
2,32b,105.056,1.963,107.019,22.7631
2,33a,21.814,59.777,81.591,3.5952
2,33b,12.389,58.092,70.481,2.6411
2,33c,33.75,59.805,93.555,5.4494
2,3a,129.563,1.582,131.145,2.6384
2,3b,84.671,1.703,86.374,2.5172
2,3c,201.696,1.782,203.478,3.622
2,4a,90.776,2.064,92.84,6.7148
2,4b,32.883,1.856,34.739,2.0691
2,4c,81.708,1.645,83.353,7.6972
2,5a,67.295,1.922,69.217,7.8224
2,5b,62.825,1.807,64.632,1.5855
2,5c,95.372,1.872,97.244,3.4904
2,6a,21.148,1.894,23.042,3.1455
2,6b,172.459,1.805,174.264,8.4287
2,6c,6.118,2.199,8.317,3.1988
2,6d,4093.964,1.953,4095.917,9.3842
2,6e,14.595,2.172,16.767,2.7271
2,6f,4106.296,1.72,4108.016,9.813
2,7a,580.501,5.767,586.268,3.3748
2,7b,165.131,5.345,170.476,3.1781
2,7c,1634.981,5.928,1640.909,22.6442
2,8a,834.425,3.835,838.26,16.8655
2,8b,84.324,3.621,87.945,6.0526
2,8c,1873.72,3.432,1877.152,1.3087
2,8d,684.074,4.011,688.085,2.6362
2,9a,133.132,6.331,139.463,9.0921
2,9b,126.694,5.57,132.264,8.9157
2,9c,219.007,5.894,224.901,2.7243
2,9d,1937.773,6.381,1944.154,3.545
3,10a,241.66,3.373,245.033,1.8375
3,10b,137.267,3.484,140.751,2.4455
3,10c,6954.546,3.368,6957.914,5.7434
3,11a,56.551,5.573,62.124,18.1154
3,11b,20.489,4.896,25.385,10.5471
3,11c,104.233,5.132,109.365,13.4699
3,11d,92.04,5.268,97.308,6.8439
3,12a,104.8,5.473,110.273,5.6684
3,12b,36.67,5.837,42.507,3.419
3,12c,315.188,5.241,320.429,11.5422
3,13a,609.444,8.17,617.614,5.1741
3,13b,273.982,8.482,282.464,6.2289
3,13c,263.507,8.476,271.983,3.6061
3,13d,949.914,8.342,958.256,5.0759
3,14a,241.801,5.2,247.001,21.3898
3,14b,110.127,4.855,114.982,4.1078
3,14c,411.76,5.143,416.903,25.1027
3,15a,154.41,11.374,165.784,3.0283
3,15b,19.215,11.436,30.651,3.5767
3,15c,603.497,12.426,615.923,3.6553
3,15d,307.93,12.701,320.631,5.8831
3,16a,155.992,6.483,162.475,8.5075
3,16b,10024.335,6.102,10030.437,37.073
3,16c,880.777,6.194,886.971,24.3997
3,16d,724.612,6.413,731.025,24.9874
3,17a,7040.683,4.013,7044.696,35.9395
3,17b,5358.206,3.856,5362.062,31.2046
3,17c,5231.831,4.024,5235.855,33.5948
3,17d,5335.64,3.92,5339.56,54.1499
3,17e,7088.344,3.99,7092.334,35.6406
3,17f,6563.762,3.946,6567.708,37.6148
3,18a,2545.732,3.899,2549.631,5.563
3,18b,112.318,4.062,116.38,5.9781
3,18c,3272.835,3.783,3276.618,7.5543
3,19a,131.44,18.446,149.886,9.8205
3,19b,57.977,15.143,73.12,8.4129
3,19c,1006.0,20.46,1026.46,11.3543
3,19d,3121.341,21.359,3142.7,6.129
3,1a,39.426,2.105,41.531,1.5607
3,1b,35.407,1.701,37.108,7.9545
3,1c,38.2,1.675,39.875,1.9086
3,1d,36.607,1.67,38.277,8.4569
3,20a,2020.742,11.926,2032.668,15.5797
3,20b,1575.336,11.892,1587.228,14.2331
3,20c,865.106,12.135,877.241,19.8577
3,21a,55.612,11.295,66.907,23.3651
3,21b,37.108,10.776,47.884,16.1667
3,21c,38.641,11.243,49.884,22.9058
3,22a,299.449,29.665,329.114,29.7569
3,22b,214.213,29.663,243.876,12.0574
3,22c,906.239,29.849,936.088,50.9815
3,22d,558.408,31.965,590.373,48.4399
3,23a,194.281,28.272,222.553,5.0458
3,23b,40.585,26.349,66.934,5.5679
3,23c,188.553,27.679,216.232,1.9236
3,24a,306.926,56.009,362.935,21.3734
3,24b,15.902,49.32,65.222,4.2373
3,25a,1488.124,10.396,1498.52,45.904
3,25b,194.774,9.949,204.723,6.2503
3,25c,5234.481,10.272,5244.753,60.3968
3,26a,12133.298,49.615,12182.913,17.0993
3,26b,149.573,48.543,198.116,11.7425
3,26c,1104.93,48.089,1153.019,12.2682
3,27a,13.113,48.184,61.297,3.3333
3,27b,5.537,47.128,52.665,4.1487
3,27c,17.653,49.942,67.595,3.087
3,28a,853.55,59.496,913.046,71.1659
3,28b,444.869,56.027,500.896,58.8041
3,28c,899.151,59.529,958.68,53.0267
3,29a,53.722,69.017,122.739,7.7208
3,29b,8.672,70.989,79.661,3.3953
3,29c,717.157,75.57,792.727,68.8643
3,2a,306.783,1.89,308.673,31.5217
3,2b,294.046,2.125,296.171,36.7786
3,2c,278.383,2.053,280.436,8.7956
3,2d,380.833,2.06,382.893,31.75
3,30a,3679.089,51.259,3730.348,37.7648
3,30b,245.589,46.658,292.247,8.7455
3,30c,2141.491,50.533,2192.024,53.9099
3,31a,680.357,37.699,718.056,34.2144
3,31b,249.292,34.887,284.179,12.5577
3,31c,682.529,38.041,720.57,39.3635
3,32a,8.043,2.312,10.355,9.5469
3,32b,102.204,2.081,104.285,22.7631
3,33a,21.854,57.872,79.726,3.5952
3,33b,12.31,56.684,68.994,2.6411
3,33c,34.228,58.978,93.206,5.4494
3,3a,129.276,1.557,130.833,2.6384
3,3b,85.771,1.752,87.523,2.5172
3,3c,200.698,1.792,202.49,3.622
3,4a,88.995,2.07,91.065,6.7148
3,4b,32.772,1.895,34.667,2.0691
3,4c,83.22,1.717,84.937,7.6972
3,5a,67.273,1.897,69.17,7.8224
3,5b,61.728,1.775,63.503,1.5855
3,5c,97.108,1.784,98.892,3.4904
3,6a,21.031,1.926,22.957,3.1455
3,6b,171.967,1.779,173.746,8.4287
3,6c,6.058,2.088,8.146,3.1988
3,6d,4066.953,2.093,4069.046,9.3842
3,6e,14.848,2.224,17.072,2.7271
3,6f,4107.546,1.763,4109.309,9.813
3,7a,585.983,5.748,591.731,3.3748
